,feature,importance
300,R_VALUE_Min,0.2467051
9,TOTUSJH_last_value,0.036854472
8,TOTUSJH_avg_abs_derivative_change,0.03447724
92,TOTFZ_Min,0.03274079
70,SAVNCPP_Variance,0.029301284
0,TOTUSJH_Max,0.027528875
101,TOTFZ_average_absolute_change,0.02367241
31,TOTPOT_Variance,0.01692804
100,TOTFZ_last_value,0.015020542
53,ABSNJZH_Min,0.012766704
75,SAVNCPP_average_absolute_change,0.009224088
62,ABSNJZH_average_absolute_change,0.007341365
5,TOTUSJH_Variance,0.0061379243
30,TOTPOT_Std_dev,0.006117025
304,R_VALUE_Variance,0.0059349765
107,MEANPOT_Mean,0.0059339018
87,USFLUX_last_value,0.005776001
96,TOTFZ_Variance,0.0056585637
18,TOTBSQ_Variance,0.005603809
57,ABSNJZH_Variance,0.0054511325
182,MEANGBZ_Max,0.0050465497
48,TOTUSJZ_last_value,0.0049654595
4,TOTUSJH_Std_dev,0.004901911
109,MEANPOT_Variance,0.004826851
35,TOTPOT_last_value,0.004408258
286,EPSX_Max,0.0040734955
42,TOTUSJZ_Mean,0.004073319
73,SAVNCPP_avg_abs_derivative_change,0.0039917217
252,MEANALP_Variance,0.0038839455
104,MEANPOT_Max,0.0037303963
216,MEANJZH_avg_abs_derivative_change,0.0036345182
262,TOTFX_Median,0.0036156415
310,R_VALUE_quadratic_weighted_moving_average,0.003615238
184,MEANGBZ_Median,0.0035709627
41,TOTUSJZ_Median,0.0034707128
226,TOTFY_Variance,0.0034706949
14,TOTBSQ_Min,0.0034242764
265,TOTFX_Variance,0.0034111808
269,TOTFX_last_value,0.0033218102
39,TOTUSJZ_Max,0.003273952
221,TOTFY_Max,0.0032379308
51,TOTUSJZ_linear_weighted_moving_average,0.0032148627
299,R_VALUE_Max,0.0031898657
60,ABSNJZH_avg_abs_derivative_change,0.0031804827
301,R_VALUE_Median,0.0030987733
272,TOTFX_linear_weighted_moving_average,0.0030973002
10,TOTUSJH_average_absolute_change,0.0030751526
54,ABSNJZH_Median,0.0030510405
193,MEANGBZ_quadratic_weighted_moving_average,0.0030372923
105,MEANPOT_Min,0.0030257155
27,TOTPOT_Min,0.0029897022
171,MEANGBT_Median,0.0029838216
66,SAVNCPP_Min,0.0029785964
36,TOTPOT_average_absolute_change,0.0029238078
308,R_VALUE_last_value,0.0028137888
223,TOTFY_Median,0.0027591398
208,MEANJZH_Max,0.0027523132
260,TOTFX_Max,0.0026999898
220,MEANJZH_linear_weighted_moving_average,0.0026188705
307,R_VALUE_avg_abs_derivative_change,0.0026050115
50,TOTUSJZ_quadratic_weighted_moving_average,0.002556566
232,TOTFY_quadratic_weighted_moving_average,0.002517398
89,USFLUX_quadratic_weighted_moving_average,0.0024976907
247,MEANALP_Max,0.0024855353
29,TOTPOT_Mean,0.0024730416
78,USFLUX_Max,0.002451466
141,MEANSHR_quadratic_weighted_moving_average,0.0024392551
26,TOTPOT_Max,0.002409596
222,TOTFY_Min,0.0023885947
196,MEANGBH_Min,0.0023773117
219,MEANJZH_quadratic_weighted_moving_average,0.0023737075
22,TOTBSQ_last_value,0.0023604333
209,MEANJZH_Min,0.0023316883
88,USFLUX_average_absolute_change,0.0023299628
132,MEANSHR_Median,0.0023284208
13,TOTBSQ_Max,0.002316149
160,MEANGAM_Std_dev,0.0023068304
311,R_VALUE_linear_weighted_moving_average,0.0023061985
271,TOTFX_quadratic_weighted_moving_average,0.0022888926
80,USFLUX_Median,0.0022769903
79,USFLUX_Min,0.0022714438
249,MEANALP_Median,0.0022644717
297,EPSX_quadratic_weighted_moving_average,0.0022497557
91,TOTFZ_Max,0.0022486113
235,MEANJZD_Min,0.002244301
229,TOTFY_avg_abs_derivative_change,0.0022403058
65,SAVNCPP_Max,0.0022366564
172,MEANGBT_Mean,0.0022259299
69,SAVNCPP_Std_dev,0.0022122504
287,EPSX_Min,0.0022047763
250,MEANALP_Mean,0.0022038065
224,TOTFY_Mean,0.002201258
28,TOTPOT_Median,0.0022006696
118,EPSZ_Min,0.0021600018
284,EPSY_quadratic_weighted_moving_average,0.0021526946
40,TOTUSJZ_Min,0.0021430545
52,ABSNJZH_Max,0.0021277962
195,MEANGBH_Max,0.0021232474
115,MEANPOT_quadratic_weighted_moving_average,0.0021213517
158,MEANGAM_Median,0.0020817555
273,EPSY_Max,0.00205692
127,EPSZ_average_absolute_change,0.002055947
1,TOTUSJH_Min,0.0020534033
131,MEANSHR_Min,0.002046995
169,MEANGBT_Max,0.0020299281
275,EPSY_Median,0.0020214396
2,TOTUSJH_Median,0.0020007256
257,MEANALP_average_absolute_change,0.001991613
261,TOTFX_Min,0.0019824223
233,TOTFY_linear_weighted_moving_average,0.001970384
183,MEANGBZ_Min,0.0019334317
152,SHRGT45_last_value,0.0019249537
139,MEANSHR_last_value,0.0019003237
103,TOTFZ_linear_weighted_moving_average,0.0018792338
185,MEANGBZ_Mean,0.0018783155
190,MEANGBZ_avg_abs_derivative_change,0.0018530415
161,MEANGAM_Variance,0.0018452387
295,EPSX_last_value,0.0018406196
130,MEANSHR_Max,0.0018386483
251,MEANALP_Std_dev,0.0018311942
255,MEANALP_avg_abs_derivative_change,0.001810546
248,MEANALP_Min,0.001803634
259,MEANALP_linear_weighted_moving_average,0.0018001507
37,TOTPOT_quadratic_weighted_moving_average,0.0017951755
114,MEANPOT_average_absolute_change,0.0017911159
147,SHRGT45_Std_dev,0.0017872774
157,MEANGAM_Min,0.0017866346
210,MEANJZH_Median,0.0017781146
230,TOTFY_last_value,0.0017764637
274,EPSY_Min,0.0017705816
119,EPSZ_Median,0.0017703949
117,EPSZ_Max,0.0017353534
128,EPSZ_quadratic_weighted_moving_average,0.0017267324
288,EPSX_Median,0.0017223395
116,MEANPOT_linear_weighted_moving_average,0.001720836
283,EPSY_average_absolute_change,0.0017106954
90,USFLUX_linear_weighted_moving_average,0.0017101087
234,MEANJZD_Max,0.0016905364
144,SHRGT45_Min,0.0016815597
166,MEANGAM_average_absolute_change,0.0016788277
93,TOTFZ_Median,0.0016753955
278,EPSY_Variance,0.0016664446
237,MEANJZD_Mean,0.0016418266
170,MEANGBT_Min,0.0016186152
156,MEANGAM_Max,0.0016037017
303,R_VALUE_Std_dev,0.001602329
244,MEANJZD_average_absolute_change,0.001599098
281,EPSY_avg_abs_derivative_change,0.0015883049
106,MEANPOT_Median,0.0015875292
34,TOTPOT_avg_abs_derivative_change,0.0015809357
205,MEANGBH_average_absolute_change,0.0015742743
55,ABSNJZH_Mean,0.001560044
302,R_VALUE_Mean,0.0015444927
112,MEANPOT_avg_abs_derivative_change,0.0015266843
276,EPSY_Mean,0.0015069888
49,TOTUSJZ_average_absolute_change,0.0015056086
285,EPSY_linear_weighted_moving_average,0.0014990076
148,SHRGT45_Variance,0.0014980515
16,TOTBSQ_Mean,0.0014966337
43,TOTUSJZ_Std_dev,0.0014921603
206,MEANGBH_quadratic_weighted_moving_average,0.0014891834
270,TOTFX_average_absolute_change,0.00148364
164,MEANGAM_avg_abs_derivative_change,0.0014767367
63,ABSNJZH_quadratic_weighted_moving_average,0.0014493229
68,SAVNCPP_Mean,0.0014377213
74,SAVNCPP_last_value,0.0014142853
21,TOTBSQ_avg_abs_derivative_change,0.0014103898
296,EPSX_average_absolute_change,0.001395018
94,TOTFZ_Mean,0.0013916432
81,USFLUX_Mean,0.0013828537
165,MEANGAM_last_value,0.0013828382
76,SAVNCPP_quadratic_weighted_moving_average,0.0013774588
126,EPSZ_last_value,0.0013774037
194,MEANGBZ_linear_weighted_moving_average,0.0013643119
180,MEANGBT_quadratic_weighted_moving_average,0.0013581996
231,TOTFY_average_absolute_change,0.0013579591
153,SHRGT45_average_absolute_change,0.0013428467
282,EPSY_last_value,0.0013143411
207,MEANGBH_linear_weighted_moving_average,0.0012977708
211,MEANJZH_Mean,0.0012849781
145,SHRGT45_Median,0.0012796834
67,SAVNCPP_Median,0.0012790912
151,SHRGT45_avg_abs_derivative_change,0.0012757296
38,TOTPOT_linear_weighted_moving_average,0.0012662589
61,ABSNJZH_last_value,0.0012629376
129,EPSZ_linear_weighted_moving_average,0.0012596388
95,TOTFZ_Std_dev,0.0012564334
56,ABSNJZH_Std_dev,0.0012433747
225,TOTFY_Std_dev,0.0012322961
277,EPSY_Std_dev,0.0012319863
298,EPSX_linear_weighted_moving_average,0.0012311016
23,TOTBSQ_average_absolute_change,0.0012228441
11,TOTUSJH_quadratic_weighted_moving_average,0.0011953152
143,SHRGT45_Max,0.0011938808
125,EPSZ_avg_abs_derivative_change,0.0011765681
266,TOTFX_Skewness,0.0011725911
294,EPSX_avg_abs_derivative_change,0.001164774
173,MEANGBT_Std_dev,0.0011549644
140,MEANSHR_average_absolute_change,0.0011477496
218,MEANJZH_average_absolute_change,0.0011440807
289,EPSX_Mean,0.0011347601
174,MEANGBT_Variance,0.0011241905
263,TOTFX_Mean,0.0011204163
309,R_VALUE_average_absolute_change,0.0011051534
181,MEANGBT_linear_weighted_moving_average,0.0010943802
99,TOTFZ_avg_abs_derivative_change,0.0010742989
290,EPSX_Std_dev,0.0010712207
204,MEANGBH_last_value,0.0010666293
133,MEANSHR_Mean,0.0010614599
268,TOTFX_avg_abs_derivative_change,0.0010358045
86,USFLUX_avg_abs_derivative_change,0.0010345243
138,MEANSHR_avg_abs_derivative_change,0.0010151203
197,MEANGBH_Median,0.001013114
44,TOTUSJZ_Variance,0.0010111452
146,SHRGT45_Mean,0.0010092254
245,MEANJZD_quadratic_weighted_moving_average,0.0010051186
258,MEANALP_quadratic_weighted_moving_average,0.000999699
108,MEANPOT_Std_dev,0.0009951458
121,EPSZ_Std_dev,0.0009915214
236,MEANJZD_Median,0.0009863948
15,TOTBSQ_Median,0.0009762101
12,TOTUSJH_linear_weighted_moving_average,0.00096895447
242,MEANJZD_avg_abs_derivative_change,0.0009559918
134,MEANSHR_Std_dev,0.0009357402
159,MEANGAM_Mean,0.0009237171
191,MEANGBZ_last_value,0.0009196398
246,MEANJZD_linear_weighted_moving_average,0.00091201765
212,MEANJZH_Std_dev,0.00091182254
83,USFLUX_Variance,0.00090630504
186,MEANGBZ_Std_dev,0.0008960067
192,MEANGBZ_average_absolute_change,0.00089414074
154,SHRGT45_quadratic_weighted_moving_average,0.0008728818
47,TOTUSJZ_avg_abs_derivative_change,0.00085602567
167,MEANGAM_quadratic_weighted_moving_average,0.00085493136
25,TOTBSQ_linear_weighted_moving_average,0.00085401564
17,TOTBSQ_Std_dev,0.0008529096
142,MEANSHR_linear_weighted_moving_average,0.00084477407
122,EPSZ_Variance,0.0008409184
264,TOTFX_Std_dev,0.00083338603
178,MEANGBT_last_value,0.0008179703
24,TOTBSQ_quadratic_weighted_moving_average,0.0008017692
168,MEANGAM_linear_weighted_moving_average,0.00079891284
179,MEANGBT_average_absolute_change,0.0007927466
3,TOTUSJH_Mean,0.00077818445
305,R_VALUE_Skewness,0.00077029417
71,SAVNCPP_Skewness,0.00073273707
187,MEANGBZ_Variance,0.0007321004
238,MEANJZD_Std_dev,0.00073088537
203,MEANGBH_avg_abs_derivative_change,0.00072602247
177,MEANGBT_avg_abs_derivative_change,0.0007123223
120,EPSZ_Mean,0.00070925313
213,MEANJZH_Variance,0.00070750224
102,TOTFZ_quadratic_weighted_moving_average,0.00070214225
64,ABSNJZH_linear_weighted_moving_average,0.0006861858
82,USFLUX_Std_dev,0.0006821202
77,SAVNCPP_linear_weighted_moving_average,0.0006232039
175,MEANGBT_Skewness,0.0006185962
198,MEANGBH_Mean,0.0006031986
58,ABSNJZH_Skewness,0.0005937311
239,MEANJZD_Variance,0.0005888834
291,EPSX_Variance,0.0005820202
19,TOTBSQ_Skewness,0.00058060547
32,TOTPOT_Skewness,0.00057833537
199,MEANGBH_Std_dev,0.00057618116
306,R_VALUE_Kurtosis,0.00055986113
227,TOTFY_Skewness,0.0005524409
150,SHRGT45_Kurtosis,0.0005447819
84,USFLUX_Skewness,0.0005419349
240,MEANJZD_Skewness,0.00053659914
135,MEANSHR_Variance,0.00051131926
188,MEANGBZ_Skewness,0.0005028464
241,MEANJZD_Kurtosis,0.00049581804
256,MEANALP_last_value,0.00048098198
215,MEANJZH_Kurtosis,0.00048059112
189,MEANGBZ_Kurtosis,0.00047699467
292,EPSX_Skewness,0.00047095492
217,MEANJZH_last_value,0.00044142295
6,TOTUSJH_Skewness,0.00043121938
253,MEANALP_Skewness,0.00042878886
72,SAVNCPP_Kurtosis,0.00041867903
279,EPSY_Skewness,0.00041777836
137,MEANSHR_Kurtosis,0.00041216865
113,MEANPOT_last_value,0.0003971014
98,TOTFZ_Kurtosis,0.0003756626
97,TOTFZ_Skewness,0.0003744676
254,MEANALP_Kurtosis,0.00037362767
33,TOTPOT_Kurtosis,0.0003706047
202,MEANGBH_Kurtosis,0.0003689228
267,TOTFX_Kurtosis,0.00036481756
136,MEANSHR_Skewness,0.00036463645
243,MEANJZD_last_value,0.00036257284
176,MEANGBT_Kurtosis,0.00036119713
59,ABSNJZH_Kurtosis,0.00035998208
45,TOTUSJZ_Skewness,0.0003572223
214,MEANJZH_Skewness,0.0003510824
200,MEANGBH_Variance,0.0003504848
110,MEANPOT_Skewness,0.0003443918
293,EPSX_Kurtosis,0.00034287883
201,MEANGBH_Skewness,0.00033944438
162,MEANGAM_Skewness,0.00030946176
149,SHRGT45_Skewness,0.0003069091
7,TOTUSJH_Kurtosis,0.00030576007
228,TOTFY_Kurtosis,0.00030436183
155,SHRGT45_linear_weighted_moving_average,0.00029477032
123,EPSZ_Skewness,0.00028358542
85,USFLUX_Kurtosis,0.00027772874
111,MEANPOT_Kurtosis,0.00024550874
20,TOTBSQ_Kurtosis,0.0002448803
46,TOTUSJZ_Kurtosis,0.0002399257
124,EPSZ_Kurtosis,0.00023828224
280,EPSY_Kurtosis,0.00023514757
163,MEANGAM_Kurtosis,0.00018512718
